beneficiary,vintage_year,total_volume
"Chorley Council; Civic Offices, Union St, Chorley, PR7 1AL, United Kingdom",2007,270.0
Qiumei Lu,2008,270.0
Piming Wang,2008,270.0
Liping Sun,2008,270.0
Yuyan Song,2008,270.0
Luoying Fu,2006,270.0
Leo Gál,2006,270.0
Qiujiao Li,2006,270.0
"Doncaster Council Civic Office- Waterdale Doncaster, DN1 3BU",2008,270.0
Yanzhi Liu,2008,270.0
Shengli Ren,2008,270.0
Xue Zhang,2008,270.0
Jingang Wang,2008,270.0
Thomas Berg,2006,270.0
Attila Csajkás,2006,270.0
Riping Jiang,2006,270.0
Zhi Qiang Ju,2006,270.0
Leichhardt Bushcare Volunteers,2008,270.0
The Cushion Lab,2017,269.0
CHINA SAILING INTL SHIPPING AGENCY,2017,269.0
